Number,Party
1,Tamaz Bibiluri
2,Giorgi Liluashvili
3,Sergo Javakhidze
4,Koba Davitashvili
5,Davit Bakradze
6,Akaki Asatiani
7,Nino Chanishvili
8,Teimuraz Bobokhidze
9,Shalva Natelashvili
10,Giorgi Targamadze
11,Levan Chachua
12,Nestan Kirtadze
13,Giorgi Chikhladze
14,Nino Burjanadze
15,Zurab Kharatishvili
16,Mikheil Saluashvili
17,Kartlos Gharibashvili
18,Mamuka Chokhonelidze
19,Avtandil Margiani
20,Nugzar Avaliani
21,Mamuka Melikishvili
22,Teimuraz Mzhavia
41,Giorgi Margvelashvili
