mid,dec.pec
01,01.01
01,01.02
01,01.03
01,01.04
01,01.05
01,01.06
01,01.07
01,01.08
01,01.09
01,01.10
01,01.11
01,01.12
01,01.13
01,01.14
01,01.15
01,01.16
01,01.17
01,01.18
01,01.19
01,01.20
01,01.21
01,01.22
01,01.23
01,01.24
01,01.25
01,01.26
01,01.27
01,01.28
01,01.32
01,01.33
01,04.01
02,01.29
02,01.30
02,01.31
02,02.01
02,02.02
02,02.03
02,02.04
02,02.05
02,02.06
02,02.07
02,02.08
02,02.09
02,02.10
02,02.11
02,02.12
02,02.13
02,02.14
02,02.15
02,02.16
02,02.22
02,02.49
02,02.50
02,02.51
02,02.52
02,02.66
02,02.67
02,02.68
02,02.69
02,02.70
02,02.71
02,02.75
02,02.76
03,02.17
03,02.18
03,02.19
03,02.29
03,02.31
03,02.33
03,02.34
03,02.35
03,02.36
03,02.37
03,02.38
03,02.39
03,02.40
03,02.41
03,02.42
03,02.43
03,02.44
03,02.45
03,02.46
03,02.47
03,02.48
03,02.53
03,02.54
03,02.55
03,02.56
03,02.57
03,02.58
03,02.60
03,02.61
03,02.63
03,02.64
03,02.72
03,02.73
03,02.74
03,02.79
04,03.23
04,03.24
04,03.25
04,03.32
04,03.33
04,03.34
04,03.36
04,03.37
04,03.40
04,03.41
04,03.42
04,03.49
04,03.51
04,03.52
04,03.53
04,03.55
04,03.56
04,03.57
04,03.58
04,03.59
04,03.60
04,03.68
04,03.70
04,03.73
04,03.75
04,03.76
04,03.84
04,03.85
04,03.86
04,03.87
04,03.88
05,02.20
05,02.23
05,02.24
05,02.25
05,02.26
05,02.27
05,02.28
05,02.30
05,02.32
05,02.59
05,02.62
05,02.65
05,02.78
05,02.80
05,03.06
05,03.07
05,03.12
05,03.13
05,03.15
05,03.16
05,03.17
05,03.18
05,03.19
05,03.20
05,03.21
05,03.22
05,03.46
05,03.47
05,03.64
05,03.65
05,03.66
05,03.67
05,03.79
06,03.01
06,03.02
06,03.03
06,03.04
06,03.05
06,03.08
06,03.09
06,03.10
06,03.11
06,03.14
06,03.26
06,03.27
06,03.28
06,03.29
06,03.30
06,03.31
06,03.43
06,03.44
06,03.45
06,03.48
06,03.54
06,03.61
06,03.62
06,03.63
06,03.69
06,03.71
06,03.72
06,03.77
06,03.78
06,03.81
06,03.82
06,03.83
07,01.35
07,01.36
07,01.37
07,01.38
07,01.39
07,04.02
07,04.03
07,04.04
07,04.05
07,04.06
07,04.07
07,04.08
07,04.09
07,04.10
07,04.11
07,04.12
07,04.13
07,04.14
07,04.15
07,04.16
07,04.17
07,04.18
07,04.19
07,04.20
07,04.21
07,04.22
07,04.23
07,04.24
07,04.25
07,04.26
07,04.27
07,04.28
07,04.29
07,04.30
07,04.31
