Number,Party,is ind
2,European Georgia,
3,Democratic Movement - Free Georgia,
5,United National Movement,
6,Republican Party,
7,For United Georgia,
8,Alliance of Patriots,
9,Leftist Alliance,
10,Labour,
15,Socialist Workers Party,
17,Georgia,
20,National Forum,
22,Merab Kostava Society,
27,Unity - New Georgia,
28,Lord Our Righteousness,
31,Freedom Party,
34,Mamulishvili,
37,United Communist Party,
38,Party of People,
39,Progressive Democratic Movement,
41,Georgian Dream,
42,Initiative Group,TRUE
43,Initiative Group,TRUE
44,Initiative Group,TRUE
45,Initiative Group,TRUE
