"id","election_id","district_id","precinct_id","user_id","possible_voters","special_voters","votes_by_1200","votes_by_1700","ballots_signed_for","ballots_available","invalid_ballots_submitted","party_1","party_2","party_3","party_4","party_5","party_6","party_7","party_8","party_9","party_10","party_11","party_12","party_13","party_14","party_15","party_16","party_17","party_18","party_19","party_20","party_21","party_22","party_41","created_at","updated_at","is_valid","is_extra"
"31","1","3","27","2","197","10","235","650","795","1300","21","0","1","1","2","140","0","0","0","21","1","2","0","0","66","4","2","0","0","1","0","0","1","532","2013-10-27 21:40:36","2013-10-27 21:41:52","0","0"
"32","1","1","36","21","306","50","119","203","216","350","3","0","0","0","2","31","0","1","0","12","3","0","0","1","28","0","1","0","0","0","2","0","0","132","2013-10-27 21:40:48","2013-10-27 21:41:14","1","0"
"33","1","2","26","36","1412","11","274","693","862","1350","32","0","0","0","10","158","0","0","0","11","4","4","0","0","95","0","0","0","0","0","2","0","0","546","2013-10-27 21:41:03","2013-10-27 21:41:03","1","0"
"34","1","2","39","18","1400","5","186","596","790","1300","26","1","0","1","9","143","1","0","0","11","7","6","0","0","72","3","2","0","0","0","0","0","1","507","2013-10-27 21:41:04","2013-10-27 21:41:04","0","0"
"35","1","2","20","22","367","3","70","176","207","400","5","0","1","0","3","44","0","0","0","8","2","3","0","0","24","4","0","0","0","0","0","0","0","113","2013-10-27 21:41:05","2013-10-27 21:41:05","NULL","1"
"36","1","2","24","38","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:41:12","2013-10-27 21:41:12","0","0"
"37","1","1","36","24","306","50","119","203","216","350","3","0","0","0","2","31","0","1","0","12","3","0","0","1","28","0","1","0","0","0","2","0","0","132","2013-10-27 21:41:14","2013-10-27 21:41:14","1","0"
"38","1","2","60","27","1182","9","217","627","738","1100","16","1","0","2","4","136","1","1","3","24","2","2","1","0","56","2","4","0","0","1","0","0","1","481","2013-10-27 21:41:28","2013-10-27 21:42:59","1","0"
"39","1","2","24","2","1454","8","270","681","839","1350","18","0","0","0","10","189","2","2","0","17","4","4","0","1","67","0","2","0","0","2","0","0","4","517","2013-10-27 21:41:40","2013-10-27 21:42:40","1","0"
"40","1","3","2","25","1358","7","230","701","826","1250","13","1","2","0","8","155","0","1","0","27","4","16","0","0","84","2","2","1","0","0","0","0","1","509","2013-10-27 21:41:42","2013-10-27 21:42:26","0","0"
"41","1","2","39","23","1400","5","186","596","790","1300","26","1","0","1","9","143","1","0","0","11","7","6","0","0","72","3","2","0","0","0","0","0","1","507","2013-10-27 21:41:50","2013-10-27 21:42:13","1","0"
