Number,Party
1,Free Georgia
4,National Democratic Party of Georgia
5,United National Movement
9,Movement for Fair Georgia
10,Christian-Democratic Movement
17,Public Movement
19,Freedom Party
23,Georgian Group
24,New Rights
26,People's Party
30,Merab Kostava Society
35,Future Georgia
36,Labour Council of Georgia
38,Labour
40,Sportsman's Union
41,Georgian Dream
